Driver,Team,Avg_Lap_Time,Max_Speed,Pit_Stops,Stint_Count,Avg_Tyre_Life,Constructor,Grid,Finish_Position,Status,Points,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Season,Race,DNF,Top10,Grid_Finish_Delta
RUS,Williams,0 days 00:01:42.160982142,289.0,2.0,3.0,11.571428571428571,Williams,19.0,15.0,+1 Lap,0.0,26.210852713178294,28.610852713178296,53.372093023255815,0.0,2.7108527131782947,2019,Bahrain Grand Prix,1,0,4.0
SAI,McLaren,0 days 00:01:40.304528301,298.0,4.0,4.0,9.69811320754717,McLaren,7.0,19.0,Collision damage,0.0,26.210852713178294,28.610852713178296,53.372093023255815,0.0,2.7108527131782947,2019,Bahrain Grand Prix,1,0,-12.0
STR,Racing Point,0 days 00:01:41.455428571,293.0,2.0,3.0,14.553571428571429,Racing Point,18.0,14.0,+1 Lap,0.0,26.210852713178294,28.610852713178296,53.372093023255815,0.0,2.7108527131782947,2019,Bahrain Grand Prix,1,0,4.0
VER,Red Bull Racing,0 days 00:01:39.433385964,287.0,2.0,3.0,11.491228070175438,Red Bull Racing,5.0,4.0,Finished,12.0,26.210852713178294,28.610852713178296,53.372093023255815,0.0,2.7108527131782947,2019,Bahrain Grand Prix,0,1,1.0
VET,Ferrari,0 days 00:01:39.953736842,295.0,3.0,4.0,11.070175438596491,Ferrari,2.0,5.0,Finished,10.0,26.210852713178294,28.610852713178296,53.372093023255815,0.0,2.7108527131782947,2019,Bahrain Grand Prix,0,1,-3.0
ALB,Toro Rosso,0 days 00:01:41.102818181,263.0,1.0,2.0,15.563636363636364,Toro Rosso,0.0,10.0,+1 Lap,1.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,1,-10.0
BOT,Mercedes,0 days 00:01:38.801821428,267.0,2.0,3.0,11.142857142857142,Mercedes,1.0,2.0,Finished,18.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,-1.0
GAS,Red Bull Racing,0 days 00:01:40.279589285,261.0,3.0,4.0,10.25,Red Bull Racing,6.0,6.0,Finished,9.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,0.0
GIO,Alfa Romeo Racing,0 days 00:01:41.493272727,263.0,2.0,3.0,11.436363636363636,Alfa Romeo Racing,19.0,15.0,+1 Lap,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,4.0
GRO,Haas F1 Team,0 days 00:01:41.121363636,264.0,2.0,3.0,11.781818181818181,Haas F1 Team,10.0,11.0,+1 Lap,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,-1.0
HAM,Mercedes,0 days 00:01:38.684821428,263.0,2.0,3.0,12.392857142857142,Mercedes,2.0,1.0,Finished,25.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,1.0
HUL,Renault,0 days 00:01:44.370750,262.0,2.0,2.0,7.125,Renault,8.0,20.0,Power Unit,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,-12.0
KUB,Williams,0 days 00:01:43.091092592,261.0,1.0,2.0,14.018518518518519,Williams,18.0,17.0,+2 Laps,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,1.0
KVY,Toro Rosso,0 days 00:01:43.006707317,263.0,4.0,4.0,9.902439024390244,Toro Rosso,11.0,19.0,Collision,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,-8.0
LEC,Ferrari,0 days 00:01:39.243321428,269.0,2.0,3.0,11.321428571428571,Ferrari,4.0,5.0,Finished,10.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,-1.0
MAG,Haas F1 Team,0 days 00:01:41.257727272,262.0,2.0,3.0,11.363636363636363,Haas F1 Team,9.0,13.0,+1 Lap,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,-4.0
NOR,McLaren,0 days 00:01:43.018600,266.0,4.0,4.0,8.86,McLaren,15.0,18.0,Collision,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,-3.0
PER,Racing Point,0 days 00:01:40.752418181,260.0,1.0,2.0,15.272727272727273,Racing Point,12.0,8.0,+1 Lap,4.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,1,4.0
RAI,Alfa Romeo Racing,0 days 00:01:40.873890909,264.0,1.0,2.0,14.363636363636363,Alfa Romeo Racing,13.0,9.0,+1 Lap,2.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,1,4.0
RIC,Renault,0 days 00:01:40.716272727,262.0,1.0,2.0,16.87272727272727,Renault,7.0,7.0,+1 Lap,6.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,1,0.0
RUS,Williams,0 days 00:01:42.793611111,262.0,2.0,3.0,11.962962962962964,Williams,17.0,16.0,+2 Laps,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,1.0
SAI,McLaren,0 days 00:01:41.438163636,267.0,2.0,3.0,14.927272727272728,McLaren,14.0,14.0,+1 Lap,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,0.0
STR,Racing Point,0 days 00:01:41.241727272,266.0,2.0,3.0,10.472727272727273,Racing Point,16.0,12.0,+1 Lap,0.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,1,0,4.0
VER,Red Bull Racing,0 days 00:01:39.178160714,264.0,2.0,3.0,10.892857142857142,Red Bull Racing,5.0,4.0,Finished,12.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,1.0
VET,Ferrari,0 days 00:01:38.930250,265.0,2.0,3.0,10.875,Ferrari,3.0,3.0,Finished,15.0,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632,2019,Chinese Grand Prix,0,1,0.0
ALB,Toro Rosso,0 days 00:01:50.617980,354.0,1.0,2.0,16.38,Toro Rosso,11.0,11.0,+1 Lap,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,0.0
BOT,Mercedes,0 days 00:01:48.096901960,341.0,1.0,2.0,17.529411764705884,Mercedes,1.0,1.0,Finished,25.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,0.0
GAS,Red Bull Racing,0 days 00:01:48.450736842,340.0,0.0,1.0,19.5,Red Bull Racing,0.0,17.0,Transmission,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-17.0
GIO,Alfa Romeo Racing,0 days 00:01:50.667840,346.0,1.0,2.0,19.9,Alfa Romeo Racing,17.0,12.0,+1 Lap,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,5.0
GRO,Haas F1 Team,0 days 00:01:52.330289473,343.0,2.0,2.0,16.44736842105263,Haas F1 Team,14.0,18.0,Brakes,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-4.0
HAM,Mercedes,0 days 00:01:48.126784313,342.0,1.0,2.0,17.333333333333332,Mercedes,2.0,2.0,Finished,18.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,0.0
HUL,Renault,0 days 00:01:51.722500,336.0,2.0,3.0,10.46,Renault,15.0,14.0,+1 Lap,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,1.0
KUB,Williams,0 days 00:01:53.452530612,345.0,3.0,4.0,10.081632653061224,Williams,0.0,16.0,+2 Laps,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-16.0
KVY,Toro Rosso,0 days 00:01:51.864696969,341.0,2.0,2.0,13.515151515151516,Toro Rosso,6.0,19.0,Collision,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-13.0
LEC,Ferrari,0 days 00:01:49.451941176,340.0,2.0,3.0,13.647058823529411,Ferrari,8.0,5.0,Finished,11.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,3.0
MAG,Haas F1 Team,0 days 00:01:51.223220,338.0,2.0,3.0,12.86,Haas F1 Team,12.0,13.0,+1 Lap,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-1.0
NOR,McLaren,0 days 00:01:49.244020,340.0,2.0,3.0,13.3,McLaren,7.0,8.0,Finished,4.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,-1.0
PER,Racing Point,0 days 00:01:49.595254901,336.0,1.0,2.0,18.54901960784314,Racing Point,5.0,6.0,Finished,8.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,-1.0
RAI,Alfa Romeo Racing,0 days 00:01:50.564000,352.0,1.0,2.0,20.58,Alfa Romeo Racing,0.0,10.0,+1 Lap,1.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,1,-10.0
RIC,Renault,0 days 00:01:50.398633333,344.0,1.0,2.0,8.833333333333334,Renault,10.0,20.0,Collision,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,-10.0
RUS,Williams,0 days 00:01:51.889500,336.0,2.0,3.0,10.020833333333334,Williams,16.0,15.0,+2 Laps,0.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,1,0,1.0
SAI,McLaren,0 days 00:01:49.740549019,345.0,1.0,2.0,16.823529411764707,McLaren,9.0,7.0,Finished,6.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,2.0
STR,Racing Point,0 days 00:01:50.132509803,343.0,1.0,2.0,17.96078431372549,Racing Point,13.0,9.0,Finished,2.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,4.0
VER,Red Bull Racing,0 days 00:01:48.439901960,342.0,1.0,2.0,16.941176470588236,Red Bull Racing,4.0,4.0,Finished,12.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,0.0
VET,Ferrari,0 days 00:01:48.327078431,335.0,1.0,2.0,18.45098039215686,Ferrari,3.0,3.0,Finished,15.0,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751,2019,Azerbaijan Grand Prix,0,1,0.0
ALB,Toro Rosso,0 days 00:01:26.452476923,289.0,2.0,3.0,11.76923076923077,Toro Rosso,11.0,11.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,0.0
BOT,Mercedes,0 days 00:01:27.189651515,289.0,2.0,3.0,13.833333333333334,Mercedes,1.0,2.0,Finished,18.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,-1.0
GAS,Red Bull Racing,0 days 00:01:27.424530303,285.0,2.0,3.0,13.469696969696969,Red Bull Racing,6.0,6.0,Finished,8.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,0.0
GIO,Alfa Romeo Racing,0 days 00:01:27.850515151,291.0,2.0,3.0,14.787878787878787,Alfa Romeo Racing,18.0,16.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,2.0
GRO,Haas F1 Team,0 days 00:01:27.652787878,285.0,2.0,3.0,13.772727272727273,Haas F1 Team,7.0,10.0,Finished,1.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,-3.0
HAM,Mercedes,0 days 00:01:26.071384615,286.0,2.0,3.0,14.076923076923077,Mercedes,2.0,1.0,Finished,26.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,1.0
HUL,Renault,0 days 00:01:27.722484848,284.0,1.0,2.0,17.060606060606062,Renault,0.0,13.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,-13.0
KUB,Williams,0 days 00:01:29.500215384,277.0,2.0,3.0,12.584615384615384,Williams,17.0,18.0,+1 Lap,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,1,0,-1.0
KVY,Toro Rosso,0 days 00:01:27.628772727,289.0,2.0,3.0,12.5,Toro Rosso,9.0,9.0,Finished,2.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,0.0
LEC,Ferrari,0 days 00:01:27.330363636,291.0,2.0,3.0,12.742424242424242,Ferrari,5.0,5.0,Finished,10.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,0.0
MAG,Haas F1 Team,0 days 00:01:27.554575757,283.0,2.0,3.0,13.515151515151516,Haas F1 Team,8.0,7.0,Finished,6.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,1.0
NOR,McLaren,0 days 00:01:25.047613636,288.0,1.0,2.0,11.863636363636363,McLaren,10.0,20.0,Collision,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,1,0,-10.0
PER,Racing Point,0 days 00:01:27.838181818,286.0,2.0,3.0,12.5,Racing Point,15.0,15.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,0.0
RAI,Alfa Romeo Racing,0 days 00:01:27.761303030,290.0,2.0,3.0,11.969696969696969,Alfa Romeo Racing,14.0,14.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,0.0
RIC,Renault,0 days 00:01:27.684863636,290.0,2.0,3.0,12.636363636363637,Renault,13.0,12.0,Finished,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,0,1.0
RUS,Williams,0 days 00:01:29.388123076,281.0,2.0,3.0,12.876923076923077,Williams,19.0,17.0,+1 Lap,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,1,0,2.0
SAI,McLaren,0 days 00:01:27.617954545,290.0,2.0,3.0,12.469696969696969,McLaren,12.0,8.0,Finished,4.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,4.0
STR,Racing Point,0 days 00:01:25.034318181,284.0,1.0,2.0,11.5,Racing Point,16.0,19.0,Collision,0.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,1,0,-3.0
VER,Red Bull Racing,0 days 00:01:27.244272727,292.0,2.0,3.0,12.454545454545455,Red Bull Racing,4.0,3.0,Finished,15.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,1.0
VET,Ferrari,0 days 00:01:27.266818181,291.0,2.0,3.0,12.56060606060606,Ferrari,3.0,4.0,Finished,12.0,20.147727272727273,40.72727272727273,54.724242424242426,0.0,1.9295454545454545,2019,Spanish Grand Prix,0,1,-1.0
ALB,Toro Rosso,0 days 00:01:20.303038461,272.0,1.0,2.0,22.576923076923077,Toro Rosso,10.0,8.0,Finished,4.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,2.0
BOT,Mercedes,0 days 00:01:19.635884615,272.0,2.0,3.0,29.91025641025641,Mercedes,2.0,3.0,Finished,15.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,-1.0
GAS,Red Bull Racing,0 days 00:01:19.722858974,265.0,2.0,3.0,16.666666666666668,Red Bull Racing,8.0,5.0,Finished,11.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,3.0
GIO,Alfa Romeo Racing,0 days 00:01:21.768381578,271.0,1.0,2.0,19.973684210526315,Alfa Romeo Racing,18.0,19.0,+2 Laps,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,-1.0
GRO,Haas F1 Team,0 days 00:01:20.313730769,267.0,1.0,2.0,21.55128205128205,Haas F1 Team,13.0,10.0,Finished,1.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,3.0
HAM,Mercedes,0 days 00:01:19.595346153,269.0,1.0,2.0,30.756410256410255,Mercedes,1.0,1.0,Finished,25.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,0.0
HUL,Renault,0 days 00:01:20.777233766,271.0,1.0,2.0,31.051948051948052,Renault,11.0,13.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,-2.0
KUB,Williams,0 days 00:01:21.655909090,270.0,1.0,2.0,23.727272727272727,Williams,20.0,18.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,2.0
KVY,Toro Rosso,0 days 00:01:20.295012820,272.0,1.0,2.0,22.67948717948718,Toro Rosso,7.0,7.0,Finished,6.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,0.0
LEC,Ferrari,0 days 00:01:30.650250,269.0,2.0,2.0,4.5625,Ferrari,15.0,20.0,Collision,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,-5.0
MAG,Haas F1 Team,0 days 00:01:20.726675324,268.0,1.0,2.0,30.285714285714285,Haas F1 Team,5.0,14.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,-9.0
NOR,McLaren,0 days 00:01:20.451769230,273.0,1.0,2.0,20.82051282051282,McLaren,12.0,11.0,Finished,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,0,1.0
PER,Racing Point,0 days 00:01:20.738896103,273.0,1.0,2.0,29.571428571428573,Racing Point,16.0,12.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,4.0
RAI,Alfa Romeo Racing,0 days 00:01:21.260766233,270.0,1.0,2.0,20.48051948051948,Alfa Romeo Racing,14.0,17.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,-3.0
RIC,Renault,0 days 00:01:20.376038461,269.0,1.0,2.0,30.756410256410255,Renault,6.0,9.0,Finished,2.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,-3.0
RUS,Williams,0 days 00:01:20.971051948,266.0,1.0,2.0,30.2987012987013,Williams,19.0,15.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,4.0
SAI,McLaren,0 days 00:01:20.280653846,265.0,1.0,2.0,22.96153846153846,McLaren,9.0,6.0,Finished,8.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,3.0
STR,Racing Point,0 days 00:01:21.060987012,273.0,1.0,2.0,19.77922077922078,Racing Point,17.0,16.0,+1 Lap,0.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,1,0,1.0
VER,Red Bull Racing,0 days 00:01:19.602230769,272.0,1.0,2.0,30.474358974358974,Red Bull Racing,3.0,4.0,Finished,12.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,-1.0
VET,Ferrari,0 days 00:01:19.628705128,274.0,1.0,2.0,30.474358974358974,Ferrari,4.0,2.0,Finished,18.0,22.754676258992802,32.72949640287769,52.697841726618705,0.6258992805755396,0.9035971223021583,2019,Monaco Grand Prix,0,1,2.0
ALB,Toro Rosso,0 days 00:01:19.430559322,288.0,1.0,2.0,29.016949152542374,Toro Rosso,13.0,19.0,Collision damage,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,-6.0
BOT,Mercedes,0 days 00:01:17.116100,296.0,2.0,3.0,18.142857142857142,Mercedes,6.0,4.0,Finished,13.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,0,1,2.0
GAS,Red Bull Racing,0 days 00:01:17.690217391,292.0,1.0,2.0,29.014492753623188,Red Bull Racing,5.0,8.0,+1 Lap,4.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,1,-3.0
GIO,Alfa Romeo Racing,0 days 00:01:18.477797101,291.0,1.0,2.0,17.782608695652176,Alfa Romeo Racing,12.0,13.0,+1 Lap,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,-1.0
GRO,Haas F1 Team,0 days 00:01:18.501985507,288.0,1.0,2.0,17.753623188405797,Haas F1 Team,14.0,14.0,+1 Lap,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,0.0
HAM,Mercedes,0 days 00:01:16.386914285,297.0,1.0,2.0,19.9,Mercedes,2.0,1.0,Finished,25.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,0,1,1.0
HUL,Renault,0 days 00:01:17.544333333,295.0,1.0,2.0,23.405797101449274,Renault,7.0,7.0,+1 Lap,6.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,1,0.0
KUB,Williams,0 days 00:01:20.241044776,290.0,2.0,3.0,13.656716417910447,Williams,19.0,18.0,+3 Laps,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,1.0
KVY,Toro Rosso,0 days 00:01:17.994188405,299.0,1.0,2.0,25.08695652173913,Toro Rosso,10.0,10.0,+1 Lap,1.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,1,0.0
LEC,Ferrari,0 days 00:01:16.454000,292.0,1.0,2.0,20.414285714285715,Ferrari,3.0,3.0,Finished,15.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,0,1,0.0
MAG,Haas F1 Team,0 days 00:01:19.534794117,292.0,1.0,2.0,17.86764705882353,Haas F1 Team,0.0,17.0,+2 Laps,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,-17.0
NOR,McLaren,0 days 00:01:20.775625,286.0,0.0,1.0,7.5,McLaren,8.0,20.0,Suspension,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,-12.0
PER,Racing Point,0 days 00:01:18.144913043,294.0,1.0,2.0,25.753623188405797,Racing Point,15.0,12.0,+1 Lap,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,3.0
RAI,Alfa Romeo Racing,0 days 00:01:18.510101449,292.0,2.0,3.0,21.231884057971016,Alfa Romeo Racing,16.0,15.0,+1 Lap,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,1.0
RIC,Renault,0 days 00:01:17.538507246,295.0,1.0,2.0,28.27536231884058,Renault,4.0,6.0,+1 Lap,8.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,1,-2.0
RUS,Williams,0 days 00:01:19.408705882,293.0,1.0,2.0,26.691176470588236,Williams,18.0,16.0,+2 Laps,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,2.0
SAI,McLaren,0 days 00:01:18.025608695,293.0,1.0,2.0,31.405797101449274,McLaren,11.0,11.0,+1 Lap,0.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,0,0.0
STR,Racing Point,0 days 00:01:17.958130434,294.0,1.0,2.0,19.347826086956523,Racing Point,17.0,9.0,+1 Lap,2.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,1,1,8.0
VER,Red Bull Racing,0 days 00:01:17.210557142,294.0,1.0,2.0,21.985714285714284,Red Bull Racing,9.0,5.0,Finished,10.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,0,1,4.0
VET,Ferrari,0 days 00:01:16.367742857,295.0,1.0,2.0,21.014285714285716,Ferrari,1.0,2.0,Finished,18.0,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301585,2019,Canadian Grand Prix,0,1,-1.0
ALB,Toro Rosso,0 days 00:01:38.259730769,306.0,1.0,2.0,13.51923076923077,Toro Rosso,11.0,15.0,+1 Lap,0.0,26.89421487603306,54.525619834710746,39.09090909090909,0.0,1.6785123966942148,2019,French Grand Prix,1,0,-4.0
BOT,Mercedes,0 days 00:01:36.023660377,301.0,1.0,2.0,16.150943396226417,Mercedes,2.0,2.0,Finished,18.0,26.89421487603306,54.525619834710746,39.09090909090909,0.0,1.6785123966942148,2019,French Grand Prix,0,1,0.0
