Driver,Team,LapTime,LapNumber,SpeedFL,Sector1Time,Sector2Time,Sector3Time,PitStop,PitInTime,PitOutTime,Stint_Count,TyreLife,Compound,Grid,Position,Finish_Position,Status,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Race,Race_ID,DNF,Top10,Grid_Finish_Delta,Season
GAS,AlphaTauri,81.92,23.0,132.0,19.439,35.68,26.801,0,,,3.0,23.0,MEDIUM,12.0,10.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,114.011,24.0,104.0,25.705,50.067,38.239,0,,,3.0,24.0,MEDIUM,12.0,10.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,105.599,25.0,274.0,27.356,53.642,24.601,0,,,3.0,1.0,HARD,12.0,5.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,71.099,26.0,273.0,17.633,31.84,21.626,0,,,3.0,2.0,HARD,12.0,4.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,70.283,27.0,273.0,17.516,31.248,21.519,0,,,3.0,3.0,HARD,12.0,5.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.999,28.0,275.0,17.597,31.069,21.333,0,,,3.0,4.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.628,29.0,273.0,17.489,30.899,21.24,0,,,3.0,5.0,HARD,12.0,7.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.952,30.0,271.0,17.481,31.042,21.429,0,,,3.0,6.0,HARD,12.0,9.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.969,31.0,274.0,17.659,31.075,21.235,0,,,3.0,7.0,HARD,12.0,9.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.864,32.0,271.0,17.679,30.829,21.356,0,,,3.0,8.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.576,33.0,273.0,17.559,30.859,21.158,0,,,3.0,9.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.839,34.0,274.0,17.651,30.987,21.201,0,,,3.0,10.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.821,35.0,273.0,17.757,30.931,21.133,0,,,3.0,11.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.813,36.0,274.0,17.708,30.908,21.197,0,,,3.0,12.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.805,37.0,272.0,17.626,30.986,21.193,0,,,3.0,13.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.595,38.0,274.0,17.592,30.978,21.025,0,,,3.0,14.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.821,39.0,271.0,17.629,30.963,21.229,0,,,3.0,15.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,70.115,40.0,272.0,17.802,31.118,21.195,0,,,3.0,16.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.646,41.0,271.0,17.628,30.874,21.144,0,,,3.0,17.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.453,42.0,272.0,17.609,30.813,21.031,0,,,3.0,18.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.429,43.0,272.0,17.677,30.795,20.957,0,,,3.0,19.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.37,44.0,272.0,17.66,30.717,20.993,0,,,3.0,20.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,69.37,45.0,272.0,17.627,30.747,20.996,0,,,3.0,21.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
GAS,AlphaTauri,88.958,46.0,248.0,17.616,40.196,31.146,0,,,3.0,22.0,HARD,12.0,8.0,7.0,Finished,28.684166666666666,52.025,33.8325,0,1.8875,Austrian Grand Prix,1,0,1,5.0,2020
