Driver,Team,LapTime,LapNumber,SpeedFL,Sector1Time,Sector2Time,Sector3Time,PitStop,PitInTime,PitOutTime,Stint_Count,TyreLife,Compound,Grid,Position,Finish_Position,Status,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Race,Race_ID,DNF,Top10,Grid_Finish_Delta,Season
HAM,Mercedes,119.538,1.0,223.0,,54.367,32.463,0,,,3.0,4.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,142.712,2.0,229.0,46.763,61.387,34.562,0,,,3.0,5.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,,3.0,167.0,43.739,62.116,50.801,0,,,3.0,6.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,104.932,4.0,202.0,32.339,41.826,30.767,0,,,3.0,7.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,105.139,5.0,277.0,39.813,41.41,23.916,0,,,3.0,8.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.169,6.0,278.0,30.755,41.6,23.814,0,,,3.0,9.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.123,7.0,279.0,30.775,41.68,23.668,0,,,3.0,10.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.075,8.0,277.0,30.708,41.702,23.665,0,,,3.0,11.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.148,9.0,278.0,30.802,41.648,23.698,0,,,3.0,12.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.082,10.0,278.0,30.699,41.663,23.72,0,,,3.0,13.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
HAM,Mercedes,96.143,11.0,278.0,30.677,41.585,23.881,0,,,3.0,14.0,MEDIUM,2.0,2.0,1.0,Finished,20.53834586466165,27.627819548872182,54.517293233082704,0,0.8872180451127819,Bahrain Grand Prix,1,0,1,1.0,2021
