Driver,Team,LapTime,LapNumber,SpeedFL,Sector1Time,Sector2Time,Sector3Time,PitStop,PitInTime,PitOutTime,Stint_Count,TyreLife,Compound,Grid,Position,Finish_Position,Status,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Race,Race_ID,DNF,Top10,Grid_Finish_Delta,Season
GAS,Toro Rosso,105.06,1.0,286.0,,25.495,37.955,0,,,1.0,,nan,20.0,17.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,93.372,2.0,277.0,31.357,24.825,37.19,0,,,1.0,1.0,ULTRASOFT,20.0,17.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,92.861,3.0,294.0,31.16,24.725,36.976,0,,,1.0,2.0,ULTRASOFT,20.0,17.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,92.184,4.0,294.0,30.835,24.73,36.619,0,,,1.0,3.0,ULTRASOFT,20.0,17.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,92.332,5.0,283.0,30.716,24.821,36.795,0,,,1.0,4.0,ULTRASOFT,20.0,17.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,98.18,6.0,277.0,30.866,24.601,42.713,0,,,1.0,5.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,91.537,7.0,278.0,30.529,24.583,36.425,0,,,1.0,6.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,91.319,8.0,280.0,30.438,24.594,36.287,0,,,1.0,7.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,91.141,9.0,278.0,30.515,24.328,36.298,0,,,1.0,8.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,91.136,10.0,279.0,30.548,24.305,36.283,0,,,1.0,9.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,90.937,11.0,277.0,30.388,24.284,36.265,0,,,1.0,10.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,90.743,12.0,278.0,30.167,24.367,36.209,0,,,1.0,11.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
GAS,Toro Rosso,90.649,13.0,278.0,30.141,24.245,36.263,0,,,1.0,12.0,ULTRASOFT,20.0,16.0,18.0,Engine,24.077477477477483,36.324324324324316,30.91531531531532,1,3.6918918918918915,Australian Grand Prix,1,1,0,2.0,2018
